r_def,loc,mun,est,est_d,ageb,t_loc,cd_a,ent,con,upm,d_sem,n_pro_viv,v_sel,n_hog,h_mud,n_ent,per,n_ren,c_res,par_c,sex,eda,nac_dia,nac_mes,nac_anio,l_nac_c,cs_p12,cs_p13_1,cs_p13_2,cs_p14_c,cs_p15,cs_p16,cs_p17,n_hij,e_con,cs_ad_mot,cs_p20_des,cs_ad_des,cs_nr_mot,cs_p22_des,cs_nr_ori,ur,zona,salario,fac,clase1,clase2,clase3,pos_ocu,seg_soc,rama,c_ocu11c,ing7c,dur9c,emple7c,medica5c,buscar5c,rama_est1,rama_est2,dur_est,ambito1,ambito2,tue1,tue2,tue3,busqueda,d_ant_lab,d_cexp_est,dur_des,sub_o,s_clasifi,remune2c,pre_asa,tip_con,dispo,nodispo,c_inac5c,pnea_est,niv_ins,eda5c,eda7c,eda12c,eda19c,hij5c,domestico,anios_esc,hrsocup,ingocup,ing_x_hrs,tpg_p8a,tcco,cp_anoc,imssissste,ma48me1sm,p14apoyos,scian,t_tra,emp_ppal,tue_ppal,trans_ppal,mh_fil2,mh_col,sec_ins
0,1,87,33,820,0,1,81,30,5035,694,203,0,3,1,0,4,105,2,1,201,2,64,5,4,1940,30,1,3,3,, , ,2,3,5,,, ,,, ,2,3,1322,650,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,3,3,6,10,15,3,8,9,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
0,1,87,33,820,0,1,81,30,5039,962,301,66,4,1,0,3,105,3,1,301,1,12,19,6,1992,30,1,2,6,, , ,1,,6,,, ,,, ,2,3,1322,628,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,2,0,0,0,5,0,7,6,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
0,1,87,21,815,0,1,81,30,5042,157,302,200,5,1,0,3,105,1,1,101,2,54,31,12,1950,30,2,0,0,, , ,2,7,4,,, ,,, ,2,3,1322,1062,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,1,3,5,8,13,4,8,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
0,1,87,33,820,0,1,81,30,5043,440,302,179,5,1,0,3,105,6,1,301,1,6,15,12,1998,30,1,2,1,, , ,1,, ,,, ,,, ,2,3,1322,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,87,23,817,0,1,81,30,5044,915,302,46,3,1,0,3,105,4,1,301,1,23,6,1,1982,30,1,3,3,, , ,2,,6,,, ,,, ,2,3,1322,855,1,1,1,1,2,2,6,3,6,2,1,4,2,3,4,2,3,1,1,0,2,0,0,0,0,0,1,2,5,0,0,0,0,3,1,2,2,7,0,2,9,42,3010,16.66667,0,0,0,4,0,2,5,1,1,2,0,3,1,2
0,1,87,23,817,0,1,81,30,5045,796,302,95,2,1,0,3,105,4,1,301,1,4,5,10,2000,30, ,, ,, , , ,, ,,, ,,, ,2,3,1322,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,87,32,819,0,1,81,30,5046,726,302,137,3,1,0,3,105,2,1,601,2,49,1,5,1955,30,1,6,2,1832,2,1,2,2,2,,, ,,, ,2,3,1322,702,1,1,1,4,2,4,6,6,6,2,1,4,3,6,4,2,3,3,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,7,12,2,3,11,45,0,0,0,0,0,4,0,2,18,1,1,1,0,1,9,8
0,1,87,22,816,0,1,81,30,5063,109,402,80,2,1,0,2,105,1,1,101,1,35,18,2,1969,30,1,3,3,, , ,2,,1,,, ,,, ,2,3,1322,881,1,1,1,1,1,3,4,3,6,6,3,4,3,5,4,2,5,1,1,0,2,0,0,0,0,0,1,1,5,0,0,0,0,3,2,3,5,10,0,3,9,45,3000,15.50388,0,0,0,1,0,2,7,1,2,2,0,3,2,2
0,1,87,32,819,0,1,81,30,5065,656,402,128,3,1,1,2,105,2,1,501,2,18,16,12,1986,30,1,4,3,, , ,1,0,6,,, ,,, ,2,3,1322,714,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,4,1,1,1,6,1,7,12,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,1,87,23,817,0,1,81,30,5066,244,402,58,2,1,0,2,105,3,1,302,1,6,23,7,1998,30,1,1,3,, , ,1,, ,,, ,,, ,2,3,1322,713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,87,32,819,0,1,81,30,5078,817,501,148,5,1,0,1,105,2,1,201,2,59,7,2,1945,30,1,5,4,4012,3,1,2,2,5,,, ,,, ,2,3,1322,561,1,1,1,1,1,4,2,4,4,3,3,4,3,9,3,2,4,2,4,1,2,0,0,0,0,0,1,1,5,0,0,0,0,4,3,5,9,14,2,3,16,25,6000,55.81395,0,0,0,1,0,2,15,1,2,2,0,3,2,7
